,entity,year,total_economic_dmg,reported_disaster,date
0,All natural disasters,1900-01-01,30000000,5,01/01/1900
1,All natural disasters,1901-01-01,0,2,01/01/1901
2,All natural disasters,1902-01-01,0,9,01/01/1902
3,All natural disasters,1903-01-01,480000000,8,01/01/1903
4,All natural disasters,1904-01-01,0,2,01/01/1904
5,All natural disasters,1905-01-01,0,4,01/01/1905
6,All natural disasters,1906-01-01,650750000,17,01/01/1906
7,All natural disasters,1907-01-01,30000000,5,01/01/1907
8,All natural disasters,1908-01-01,116000000,4,01/01/1908
9,All natural disasters,1909-01-01,0,11,01/01/1909
10,All natural disasters,1910-01-01,0,15,01/01/1910
11,All natural disasters,1911-01-01,20000000,5,01/01/1911
12,All natural disasters,1912-01-01,35000000,7,01/01/1912
13,All natural disasters,1913-01-01,200000000,5,01/01/1913
14,All natural disasters,1914-01-01,20000000,6,01/01/1914
15,All natural disasters,1915-01-01,121000000,7,01/01/1915
16,All natural disasters,1916-01-01,0,2,01/01/1916
17,All natural disasters,1917-01-01,50000000,6,01/01/1917
18,All natural disasters,1918-01-01,129000000,7,01/01/1918
19,All natural disasters,1919-01-01,25000000,4,01/01/1919
20,All natural disasters,1920-01-01,20000000,7,01/01/1920
21,All natural disasters,1921-01-01,0,2,01/01/1921
22,All natural disasters,1922-01-01,8000000,6,01/01/1922
23,All natural disasters,1923-01-01,610000000,12,01/01/1923
24,All natural disasters,1924-01-01,0,4,01/01/1924
25,All natural disasters,1925-01-01,45000000,6,01/01/1925
26,All natural disasters,1926-01-01,104000000,15,01/01/1926
27,All natural disasters,1927-01-01,102230000,12,01/01/1927
28,All natural disasters,1928-01-01,75000000,17,01/01/1928
29,All natural disasters,1929-01-01,55000000,6,01/01/1929
30,All natural disasters,1930-01-01,40000000,14,01/01/1930
31,All natural disasters,1931-01-01,1447500000,12,01/01/1931
32,All natural disasters,1932-01-01,30000000,8,01/01/1932
33,All natural disasters,1933-01-01,66500000,10,01/01/1933
34,All natural disasters,1934-01-01,50000000,9,01/01/1934
35,All natural disasters,1935-01-01,8000000,11,01/01/1935
36,All natural disasters,1936-01-01,21000000,11,01/01/1936
37,All natural disasters,1937-01-01,438000000,7,01/01/1937
38,All natural disasters,1938-01-01,306000000,7,01/01/1938
39,All natural disasters,1939-01-01,940000000,11,01/01/1939
40,All natural disasters,1940-01-01,43000000,17,01/01/1940
41,All natural disasters,1941-01-01,0,5,01/01/1941
42,All natural disasters,1942-01-01,28000000,9,01/01/1942
43,All natural disasters,1943-01-01,1000000000,12,01/01/1943
44,All natural disasters,1944-01-01,100000000,12,01/01/1944
45,All natural disasters,1945-01-01,480000000,12,01/01/1945
46,All natural disasters,1946-01-01,25500000,15,01/01/1946
47,All natural disasters,1947-01-01,130000000,12,01/01/1947
48,All natural disasters,1948-01-01,1043000000,23,01/01/1948
49,All natural disasters,1949-01-01,159200000,20,01/01/1949
50,All natural disasters,1950-01-01,201000000,23,01/01/1950
51,All natural disasters,1951-01-01,1528250000,27,01/01/1951
52,All natural disasters,1952-01-01,152900000,24,01/01/1952
53,All natural disasters,1953-01-01,984310000,34,01/01/1953
